companyName,jobTitle,phone,governorate,city,category,tags,sourcePage,rawText,confidence
مطعم حمزه الشام,شيف كريب,+201000047398,الدقهلية,المنصورة,Restaurants & Cafes,مطاعم,1,| بيرك فيش | ماشلا هزمح معطم ي | 1,95
مطعم حمزه الشام,شيف بيتا,+201000047398,الدقهلية,المنصورة,Restaurants & Cafes,مطاعم,1,| ز اتيب فيش | ماشلا هزمح معطم ي | 2,95
مطعم حمزه الشام,شيف جريل,+201000047398,الدقهلية,المنصورة,Restaurants & Cafes,مطاعم,1,| ليرج فيش | ماشلا هزمح معطم ي | 3,95
مطعم حمزه الشام,مدير,+201000047398,الدقهلية,المنصورة,Restaurants & Cafes,إدارة,1,| ريدم | ماشلا هزمح معطم ي | 4,95
مطعم جاست فريش,مساعد شيف سخن,+201060007717,الدقهلية,المنصورة,Restaurants & Cafes,"مساعد, مطاعم",1,| نخس فيش دعاسم | شيرف تساج معطم | 5,95
مطعم جاست فريش,خابط,+201060007717,الدقهلية,المنصورة,Restaurants & Cafes,,1,| خابط | شيرف تساج معطم | 6,95
مطعم المحمدي,سيدات ف المطبخ المركزي,+201095527977,الدقهلية,المنصورة,Restaurants & Cafes,مطاعم,1,| ز يزكرملا خبطملا ف تاديس ي | يدمحملا معطم | 8,95
مطعم المحمدي,نزاخم لامع,+201095527977,الدقهلية,المنصورة,Restaurants & Cafes,,1,| نزاخم لامع | يدمحملا معطم | 9,95
مطعم المحمدي,ويت,+201095527977,الدقهلية,المنصورة,Restaurants & Cafes,,1,| تيو | يدمحملا معطم | 10,95
مطعم المحمدي,دراويتس,+201095527977,الدقهلية,المنصورة,Restaurants & Cafes,,1,| دراويتس | يدمحملا معطم | 11,95
زز تيرام ميج,ولد سيلز,+966562924245,,,Technology & IT,"تقنية معلومات, مبيعات",1,| زليس دلو | زز تيرام ميج | 12,90
زز تيرام ميج,ولد وبنت سيلز كول,+966562924245,,,Technology & IT,"تقنية معلومات, مبيعات",1,| لوك زليس تنبو دلو | زز تيرام ميج | 13,90
شكة أكوا زاها ر,مساعد مدير مخازن,+201069669435,الدقهلية,المنصورة,Other,"مساعد, إدارة",1,| نزاخم ريدم دعاسم | ر اهاز اوكأ ةكش | 14,85
اوشلا عرف,يتنا اتاد,+201012926915,الدقهلية,المنصورة,Other,,1,| يتنا اتاد | اوشلا عرف | 15,85
ر elite properties group هكش,هفاظن ةلماع,+201034660015,الدقهلية,المنصورة,Real Estate,"تقنية معلومات, عقارات",1,| هفاظن ةلماع | ر elite properties group هكش | 16,95
لوم افصلا,تانبو بابش ففرأ ي قسنم,+201040440334,الدقهلية,المنصورة,Other,,1,| ز تانبو بابش ففرأ ي قسنم | لوم افصلا | 17,85
لوم افصلا,تانبو بابش هفاظن لامع,+201040440334,الدقهلية,المنصورة,Other,,1,| تانبو بابش هفاظن لامع | لوم افصلا | 18,85
لوم افصلا,سيلز مالبس شباب وبنات,+201040440334,الدقهلية,المنصورة,Other,مبيعات,1,| تانبو بابش سبلام زليس | لوم افصلا | 19,85
لوم افصلا,شيف أجبان شباب,+201040440334,الدقهلية,المنصورة,Other,مطاعم,1,| بابش نابجأ فيش | لوم افصلا | 20,85
يوشم فيغر,استيوارد,+201004079544,الدقهلية,المنصورة,Technology & IT,"نظافة, تقنية معلومات",1,| دراويتسا | يوشم فيغر | 21,95
شكة أكوا زاها ر,محاسب خزينه,+201069669435,الدقهلية,المنصورة,Other,محاسبة,1,| هنيزخ بساحم | ر اهاز اوكأ ةكش | 22,85
مطعم بالك جوت,ويت شباب وبنات,+201011668823,الدقهلية,المنصورة,Restaurants & Cafes,,1,| تانبو بابش تيو | توج كلاب معطم | 23,95
